 id simbad_type simbad_ctlg simbad_sptype simbad_redshift
93 S82sub8_59.12_cand174 Unknown Unknown Unknown Unknown
94 S82sub8_59.12_cand7141 Unknown Unknown Unknown Unknown
95 S82sub8_59.12_cand389 Unknown Unknown Unknown Unknown
96 S82sub8_59.12_cand5262 Unknown Unknown Unknown Unknown
97 S82sub8_59.12_cand744 Unknown Unknown Unknown Unknown
98 S82sub8_59.12_cand2671 Unknown Unknown Unknown Unknown
99 S82sub8_59.12_cand4549 Unknown Unknown Unknown Unknown
100 S82sub8_59.12_cand1032 Unknown Unknown Unknown Unknown
101 S82sub8_59.12_cand616 Unknown Unknown Unknown Unknown
102 S82sub8_59.12_cand3638 Unknown Unknown Unknown Unknown
103 S82sub8_59.12_cand2474 Unknown Unknown Unknown Unknown
104 S82sub8_59.12_cand1686 Unknown Unknown Unknown Unknown
105 S82sub8_59.12_cand1205 Unknown Unknown Unknown Unknown
106 S82sub8_59.12_cand5149 Unknown Unknown Unknown Unknown
107 S82sub8_59.12_cand6371 Unknown Unknown Unknown Unknown
108 S82sub8_59.12_cand4955 Unknown Unknown Unknown Unknown
109 S82sub8_59.12_cand6223 Unknown Unknown Unknown Unknown
110 S82sub8_59.12_cand2276 Unknown Unknown Unknown Unknown
111 S82sub8_59.12_cand624 Unknown Unknown Unknown Unknown
112 S82sub8_59.12_cand6873 Unknown Unknown Unknown Unknown
113 S82sub8_59.12_cand1401 Unknown Unknown Unknown Unknown
114 S82sub8_59.12_cand1166 Unknown Unknown Unknown Unknown
115 S82sub8_59.12_cand6788 Unknown Unknown Unknown Unknown
116 S82sub8_59.12_cand1082 Unknown Unknown Unknown Unknown
117 S82sub8_59.12_cand1756 Unknown Unknown Unknown Unknown
118 S82sub8_59.12_cand3245 Unknown Unknown Unknown Unknown
119 S82sub8_59.12_cand4961 Galaxy "SDSS J150759.87+085111.5" Unknown 0.0934700
120 S82sub8_59.12_cand4704 Unknown Unknown Unknown Unknown
121 S82sub8_59.12_cand5506 Unknown Unknown Unknown Unknown
122 S82sub8_59.12_cand7015 Unknown Unknown Unknown Unknown
123 S82sub8_59.12_cand5061 Unknown Unknown Unknown Unknown
124 S82sub8_59.12_cand610 Unknown Unknown Unknown Unknown
125 S82sub8_59.12_cand2596 Unknown Unknown Unknown Unknown
126 S82sub8_59.12_cand1034 Unknown Unknown Unknown Unknown
127 S82sub8_59.12_cand6847 Unknown Unknown Unknown Unknown
128 S82sub8_59.12_cand2425 Unknown Unknown Unknown Unknown
129 S82sub8_59.12_cand6594 Unknown Unknown Unknown Unknown
130 S82sub8_59.12_cand4753 Unknown Unknown Unknown Unknown
131 S82sub8_59.12_cand6117 Unknown Unknown Unknown Unknown
132 S82sub8_59.12_cand2347 Unknown Unknown Unknown Unknown
133 S82sub8_59.12_cand6045 Unknown Unknown Unknown Unknown
134 S82sub8_59.12_cand4601 Unknown Unknown Unknown Unknown
135 S82sub8_59.12_cand6675 Unknown Unknown Unknown Unknown
136 S82sub8_59.12_cand2010 Unknown Unknown Unknown Unknown
137 S82sub8_59.12_cand396 Unknown Unknown Unknown Unknown
138 S82sub8_59.12_cand4328 Unknown Unknown Unknown Unknown
139 S82sub8_59.12_cand822 Unknown Unknown Unknown Unknown
140 S82sub8_59.12_cand5987 Unknown Unknown Unknown Unknown
141 S82sub8_59.12_cand1878 Unknown Unknown Unknown Unknown
142 S82sub8_59.12_cand6089 Unknown Unknown Unknown Unknown
143 S82sub8_59.12_cand3023 Unknown Unknown Unknown Unknown
144 S82sub8_59.12_cand6444 Unknown Unknown Unknown Unknown
145 S82sub8_59.12_cand673 Unknown Unknown Unknown Unknown
146 S82sub8_59.12_cand314 Unknown Unknown Unknown Unknown
147 S82sub8_59.12_cand3458 Unknown Unknown Unknown Unknown
148 S82sub8_59.12_cand1252 Unknown Unknown Unknown Unknown
149 S82sub8_59.12_cand5736 Unknown Unknown Unknown Unknown
150 S82sub8_59.12_cand6027 Unknown Unknown Unknown Unknown
151 S82sub8_59.12_cand777 Unknown Unknown Unknown Unknown
152 S82sub8_59.12_cand4053 Unknown Unknown Unknown Unknown
153 S82sub8_59.12_cand2196 Unknown Unknown Unknown Unknown
154 S82sub8_59.12_cand5461 Unknown Unknown Unknown Unknown
155 S82sub8_59.12_cand4218 Unknown Unknown Unknown Unknown
156 S82sub8_59.12_cand5303 Unknown Unknown Unknown Unknown
157 S82sub8_59.12_cand4101 Unknown Unknown Unknown Unknown
158 S82sub8_59.12_cand3075 Unknown Unknown Unknown Unknown
159 S82sub8_59.12_cand912 Unknown Unknown Unknown Unknown
160 S82sub8_59.12_cand3896 Unknown Unknown Unknown Unknown
161 S82sub8_59.12_cand4500 Unknown Unknown Unknown Unknown
162 S82sub8_59.12_cand6490 Unknown Unknown Unknown Unknown
163 S82sub8_59.12_cand1230 Unknown Unknown Unknown Unknown
164 S82sub8_59.12_cand1083 Unknown Unknown Unknown Unknown
165 S82sub8_59.12_cand7146 Unknown Unknown Unknown Unknown
166 S82sub8_59.12_cand2008 Unknown Unknown Unknown Unknown
167 S82sub8_59.12_cand874 Unknown Unknown Unknown Unknown
168 S82sub8_59.12_cand3814 Unknown Unknown Unknown Unknown
169 S82sub8_59.12_cand3358 Unknown Unknown Unknown Unknown
170 S82sub8_59.12_cand1362 Unknown Unknown Unknown Unknown
171 S82sub8_59.12_cand3671 Unknown Unknown Unknown Unknown
172 S82sub8_59.12_cand1605 Unknown Unknown Unknown Unknown
173 S82sub8_59.12_cand4386 Unknown Unknown Unknown Unknown
174 S82sub8_59.12_cand2724 Unknown Unknown Unknown Unknown
175 S82sub8_59.12_cand6468 Unknown Unknown Unknown Unknown
176 S82sub8_59.12_cand611 Unknown Unknown Unknown Unknown
177 S82sub8_59.12_cand6808 Unknown Unknown Unknown Unknown
178 S82sub8_59.12_cand1932 Unknown Unknown Unknown Unknown
179 S82sub8_59.12_cand6846 Unknown Unknown Unknown Unknown
180 S82sub8_59.12_cand5967 Unknown Unknown Unknown Unknown
181 S82sub8_59.12_cand1186 Unknown Unknown Unknown Unknown
182 S82sub8_59.12_cand5037 Unknown Unknown Unknown Unknown
183 S82sub8_59.12_cand3668 Unknown Unknown Unknown Unknown
184 S82sub8_59.12_cand3341 Unknown Unknown Unknown Unknown
185 S82sub8_59.12_cand5360 Unknown Unknown Unknown Unknown
186 S82sub8_59.12_cand3911 Unknown Unknown Unknown Unknown
187 S82sub8_59.12_cand273 Unknown Unknown Unknown Unknown
188 S82sub8_59.12_cand5081 Unknown Unknown Unknown Unknown
189 S82sub8_59.12_cand6674 Unknown Unknown Unknown Unknown
190 S82sub8_59.12_cand67 Unknown Unknown Unknown Unknown
191 S82sub8_59.12_cand6943 Unknown Unknown Unknown Unknown
192 S82sub8_59.12_cand1301 Unknown Unknown Unknown Unknown
193 S82sub8_59.12_cand3375 Unknown Unknown Unknown Unknown
194 S82sub8_59.12_cand4201 Unknown Unknown Unknown Unknown
195 S82sub8_59.12_cand2093 Unknown Unknown Unknown Unknown
196 S82sub8_59.12_cand2870 Unknown Unknown Unknown Unknown
197 S82sub8_59.12_cand5248 Unknown Unknown Unknown Unknown
198 S82sub8_59.12_cand247 Unknown Unknown Unknown Unknown
199 S82sub8_59.12_cand5761 Unknown Unknown Unknown Unknown
200 S82sub8_59.12_cand6640 Unknown Unknown Unknown Unknown
201 S82sub8_59.12_cand2542 Unknown Unknown Unknown Unknown
202 S82sub8_59.12_cand6194 Unknown Unknown Unknown Unknown
203 S82sub8_59.12_cand53 Unknown Unknown Unknown Unknown
204 S82sub8_59.12_cand950 Unknown Unknown Unknown Unknown
205 S82sub8_59.12_cand300 Unknown Unknown Unknown Unknown
206 S82sub8_59.12_cand2752 Unknown Unknown Unknown Unknown
207 S82sub8_59.12_cand2937 Unknown Unknown Unknown Unknown
208 S82sub8_59.12_cand5144 Unknown Unknown Unknown Unknown
209 S82sub8_59.12_cand1208 Unknown Unknown Unknown Unknown
210 S82sub8_59.12_cand1438 Unknown Unknown Unknown Unknown
211 S82sub8_59.12_cand6065 Unknown Unknown Unknown Unknown
212 S82sub8_59.12_cand6298 Unknown Unknown Unknown Unknown
213 S82sub8_59.12_cand1970 Unknown Unknown Unknown Unknown
214 S82sub8_59.12_cand3003 Unknown Unknown Unknown Unknown
215 S82sub8_59.12_cand334 Unknown Unknown Unknown Unknown
216 S82sub8_59.12_cand1039 Unknown Unknown Unknown Unknown
217 S82sub8_59.12_cand6254 Unknown Unknown Unknown Unknown
218 S82sub8_59.12_cand5545 Unknown Unknown Unknown Unknown
219 S82sub8_59.12_cand6956 Unknown Unknown Unknown Unknown
220 S82sub8_59.12_cand2903 Unknown Unknown Unknown Unknown
221 S82sub8_59.12_cand382 Unknown Unknown Unknown Unknown
222 S82sub8_59.12_cand861 Unknown Unknown Unknown Unknown
223 S82sub8_59.12_cand4325 Unknown Unknown Unknown Unknown
